Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,108.82,109.09,106.63,107.34,1065740.0,0.0,1.0,108.82,109.09,106.63,107.34,1065740.0
2018-03-26,105.75,108.23,105.3,108.0,606265.0,0.0,1.0,105.75,108.23,105.3,108.0,606265.0
2018-03-23,106.51,107.58,104.56,104.69,824193.0,0.0,1.0,106.51,107.58,104.56,104.69,824193.0
2018-03-22,108.01,108.75,106.33,106.33,595199.0,0.0,1.0,108.01,108.75,106.33,106.33,595199.0
2018-03-21,108.91,109.0948,108.11,108.73,465231.0,0.0,1.0,108.91,109.0948,108.11,108.73,465231.0
2018-03-20,106.96,109.19,106.96,108.9,1147731.0,0.0,1.0,106.96,109.19,106.96,108.9,1147731.0
2018-03-19,106.8,107.11,105.9501,106.92,986410.0,0.0,1.0,106.8,107.11,105.9501,106.92,986410.0
2018-03-16,107.33,108.0,106.98,107.28,2491789.0,0.0,1.0,107.33,108.0,106.98,107.28,2491789.0
2018-03-15,107.92,108.03,106.59,107.12,1285187.0,0.0,1.0,107.92,108.03,106.59,107.12,1285187.0
2018-03-14,108.53,108.85,107.74,107.81,1235541.0,0.0,1.0,108.53,108.85,107.74,107.81,1235541.0
2018-03-13,108.91,109.13,107.76,108.37,830361.0,0.0,1.0,108.91,109.13,107.76,108.37,830361.0
2018-03-12,108.66,108.98,107.82,108.57,454512.0,0.0,1.0,108.66,108.98,107.82,108.57,454512.0
2018-03-09,107.24,108.47,107.015,108.35,668249.0,0.0,1.0,107.24,108.47,107.015,108.35,668249.0
2018-03-08,106.56,106.94,105.82,106.78,582180.0,0.0,1.0,106.56,106.94,105.82,106.78,582180.0
2018-03-07,104.83,106.75,104.45,106.07,1030891.0,0.0,1.0,104.83,106.75,104.45,106.07,1030891.0
2018-03-06,103.89,105.58,103.09,105.55,1004246.0,0.0,1.0,103.89,105.58,103.09,105.55,1004246.0
2018-03-05,101.78,103.53,101.05,103.32,1338026.0,0.0,1.0,101.78,103.53,101.05,103.32,1338026.0
2018-03-02,98.64,102.41,98.535,102.34,994220.0,0.0,1.0,98.64,102.41,98.535,102.34,994220.0
2018-03-01,100.53,100.56,98.7017,99.49,612378.0,0.0,1.0,100.53,100.56,98.7017,99.49,612378.0
2018-02-28,101.07,101.78,100.3,100.38,650071.0,0.0,1.0,101.07,101.78,100.3,100.38,650071.0
2018-02-27,101.05,102.195,100.77,100.81,698941.0,0.0,1.0,101.05,102.195,100.77,100.81,698941.0
2018-02-26,101.45,101.98,100.21,100.97,811576.0,0.0,1.0,101.45,101.98,100.21,100.97,811576.0
2018-02-23,100.18,101.4,99.7716,101.38,668763.0,0.0,1.0,100.18,101.4,99.7716,101.38,668763.0
2018-02-22,99.49,100.48,98.961,99.85,911765.0,0.0,1.0,99.49,100.48,98.961,99.85,911765.0
2018-02-21,98.6,100.75,98.4788,99.14,750914.0,0.0,1.0,98.6,100.75,98.4788,99.14,750914.0
2018-02-20,98.24,99.44,97.94,98.59,720715.0,0.0,1.0,98.24,99.44,97.94,98.59,720715.0
2018-02-16,99.22,99.22,98.22,98.78,684864.0,0.0,1.0,99.22,99.22,98.22,98.78,684864.0
2018-02-15,98.01,99.03,96.84,99.0,662613.0,0.0,1.0,98.01,99.03,96.84,99.0,662613.0
2018-02-14,95.47,97.43,95.005,97.34,747313.0,0.0,1.0,95.47,97.43,95.005,97.34,747313.0
2018-02-13,93.75,95.88,93.37,95.49,1075072.0,0.0,1.0,93.75,95.88,93.37,95.49,1075072.0
2018-02-12,91.8,94.64,91.68,93.88,1341412.0,0.0,1.0,91.8,94.64,91.68,93.88,1341412.0
2018-02-09,91.78,92.66,89.5,92.19,896514.0,0.0,1.0,91.78,92.66,89.5,92.19,896514.0
2018-02-08,94.01,94.5,90.73,90.74,845382.0,0.0,1.0,94.01,94.5,90.73,90.74,845382.0
2018-02-07,90.8,92.11,90.4201,91.64,645624.0,0.0,1.0,90.8,92.11,90.4201,91.64,645624.0
2018-02-06,89.2,91.52,87.5101,90.87,840340.0,0.0,1.0,89.2,91.52,87.5101,90.87,840340.0
2018-02-05,94.0,94.58,90.62,90.62,673024.0,0.0,1.0,94.0,94.58,90.62,90.62,673024.0
2018-02-02,95.49,96.25,94.77,94.77,387677.0,0.0,1.0,95.49,96.25,94.77,94.77,387677.0
2018-02-01,96.29,96.6,95.38,96.18,396024.0,0.0,1.0,96.29,96.6,95.38,96.18,396024.0
2018-01-31,96.58,96.78,95.72,96.41,520168.0,0.0,1.0,96.58,96.78,95.72,96.41,520168.0
2018-01-30,96.5,97.3899,96.42,96.42,400471.0,0.0,1.0,96.5,97.3899,96.42,96.42,400471.0
2018-01-29,97.08,97.5199,96.79,96.82,377513.0,0.0,1.0,97.08,97.5199,96.79,96.82,377513.0
2018-01-26,96.45,97.51,95.83,97.43,260866.0,0.0,1.0,96.45,97.51,95.83,97.43,260866.0
2018-01-25,96.5,96.76,96.0306,96.38,292446.0,0.0,1.0,96.5,96.76,96.0306,96.38,292446.0
2018-01-24,96.88,97.15,95.73,96.18,275597.0,0.0,1.0,96.88,97.15,95.73,96.18,275597.0
2018-01-23,96.73,97.54,96.45,96.65,271351.0,0.0,1.0,96.73,97.54,96.45,96.65,271351.0
2018-01-22,95.9,97.0,95.9,96.86,587482.0,0.0,1.0,95.9,97.0,95.9,96.86,587482.0
2018-01-19,95.37,96.0,95.2,95.93,289288.0,0.0,1.0,95.37,96.0,95.2,95.93,289288.0
2018-01-18,95.24,95.47,94.9,95.13,324259.0,0.0,1.0,95.24,95.47,94.9,95.13,324259.0
2018-01-17,94.46,95.48,94.22,95.18,297981.0,0.0,1.0,94.46,95.48,94.22,95.18,297981.0
2018-01-16,94.41,94.64,93.61,94.07,375717.0,0.0,1.0,94.41,94.64,93.61,94.07,375717.0
2018-01-12,93.64,94.3058,93.07,94.04,361641.0,0.0,1.0,93.64,94.3058,93.07,94.04,361641.0
2018-01-11,93.2,93.55,92.62,93.45,452653.0,0.0,1.0,93.2,93.55,92.62,93.45,452653.0
2018-01-10,93.12,93.62,91.89,92.98,402236.0,0.0,1.0,93.12,93.62,91.89,92.98,402236.0
2018-01-09,93.19,93.8299,92.89,93.31,451725.0,0.0,1.0,93.19,93.8299,92.89,93.31,451725.0
2018-01-08,92.55,93.66,92.49,93.13,438973.0,0.0,1.0,92.55,93.66,92.49,93.13,438973.0
2018-01-05,91.82,92.65,91.69,92.56,258823.0,0.0,1.0,91.82,92.65,91.69,92.56,258823.0
2018-01-04,90.99,91.98,90.99,91.44,349085.0,0.0,1.0,90.99,91.98,90.99,91.44,349085.0
2018-01-03,90.71,91.11,90.3763,90.72,414740.0,0.0,1.0,90.71,91.11,90.3763,90.72,414740.0
2018-01-02,90.72,91.2,90.4325,90.8,571126.0,0.0,1.0,90.72,91.2,90.4325,90.8,571126.0
2017-12-29,90.99,91.4147,90.55,90.58,290803.0,0.0,1.0,90.99,91.4147,90.55,90.58,290803.0
2017-12-28,91.23,91.23,90.46,90.88,235657.0,0.0,1.0,91.23,91.23,90.46,90.88,235657.0
2017-12-27,90.85,91.16,90.679,90.83,184755.0,0.0,1.0,90.85,91.16,90.679,90.83,184755.0
2017-12-26,91.0,91.23,90.651,90.86,181936.0,0.0,1.0,91.0,91.23,90.651,90.86,181936.0
2017-12-22,91.5,91.94,90.78,90.95,351849.0,0.0,1.0,91.5,91.94,90.78,90.95,351849.0
2017-12-21,91.69,92.44,91.48,91.61,411624.0,0.0,1.0,91.69,92.44,91.48,91.61,411624.0
2017-12-20,91.11,91.88,90.8,91.16,510178.0,0.0,1.0,91.11,91.88,90.8,91.16,510178.0
2017-12-19,90.93,91.58,90.5101,91.16,434824.0,0.0,1.0,90.93,91.58,90.5101,91.16,434824.0
2017-12-18,90.82,91.34,90.0425,90.92,815355.0,0.0,1.0,90.82,91.34,90.0425,90.92,815355.0
2017-12-15,89.11,90.13,89.025,90.03,770131.0,0.0,1.0,89.11,90.13,89.025,90.03,770131.0
2017-12-14,89.41,89.69,88.54,88.84,412294.0,0.0,1.0,89.41,89.69,88.54,88.84,412294.0
2017-12-13,89.35,90.52,89.22,89.48,463914.0,0.0,1.0,89.35,90.52,89.22,89.48,463914.0
2017-12-12,89.67,89.92,89.2501,89.38,464824.0,0.0,1.0,89.67,89.92,89.2501,89.38,464824.0
2017-12-11,89.31,89.93,89.31,89.8,390840.0,0.0,1.0,89.31,89.93,89.31,89.8,390840.0
2017-12-08,89.81,90.15,89.34,89.53,427029.0,0.0,1.0,89.81,90.15,89.34,89.53,427029.0
2017-12-07,88.75,89.36,88.52,89.27,452399.0,0.0,1.0,88.75,89.36,88.52,89.27,452399.0
2017-12-06,88.27,89.38,88.13,88.65,434542.0,0.0,1.0,88.27,89.38,88.13,88.65,434542.0
2017-12-05,89.89,90.06,88.115,88.56,695246.0,0.0,1.0,89.89,90.06,88.115,88.56,695246.0
2017-12-04,90.81,91.08,89.87,90.17,503193.0,0.0,1.0,90.81,91.08,89.87,90.17,503193.0
2017-12-01,90.11,90.6,88.78,90.13,497966.0,0.0,1.0,90.11,90.6,88.78,90.13,497966.0
2017-11-30,89.5,90.465,89.15,90.26,1548682.0,0.0,1.0,89.5,90.465,89.15,90.26,1548682.0
2017-11-29,90.47,90.6,88.82,89.12,592522.0,0.0,1.0,90.47,90.6,88.82,89.12,592522.0
2017-11-28,89.4,90.23,89.39,90.21,559350.0,0.0,1.0,89.4,90.23,89.39,90.21,559350.0
2017-11-27,89.43,89.54,88.95,89.04,465918.0,0.0,1.0,89.43,89.54,88.95,89.04,465918.0
2017-11-24,88.91,89.5,88.81,89.34,255065.0,0.0,1.0,88.91,89.5,88.81,89.34,255065.0
2017-11-22,90.7,90.99,88.4,88.75,679757.0,0.0,1.0,90.7,90.99,88.4,88.75,679757.0
2017-11-21,90.38,91.05,89.74,90.7,576509.0,0.0,1.0,90.38,91.05,89.74,90.7,576509.0
2017-11-20,89.72,89.95,89.31,89.82,515976.0,0.0,1.0,89.72,89.95,89.31,89.82,515976.0
2017-11-17,88.49,89.3,88.41,89.25,567508.0,0.0,1.0,88.49,89.3,88.41,89.25,567508.0
2017-11-16,89.0,89.25,88.44,88.66,786437.0,0.0,1.0,89.0,89.25,88.44,88.66,786437.0
2017-11-15,89.56,89.85,88.43,88.72,425484.0,0.0,1.0,89.56,89.85,88.43,88.72,425484.0
2017-11-14,87.43,89.75,86.8,89.71,833062.0,0.0,1.0,87.43,89.75,86.8,89.71,833062.0
2017-11-13,88.34,88.68,87.45,87.58,639294.0,0.0,1.0,88.34,88.68,87.45,87.58,639294.0
2017-11-10,87.69,88.76,87.5,88.45,638448.0,0.0,1.0,87.69,88.76,87.5,88.45,638448.0
2017-11-09,90.75,90.75,87.35,87.83,966585.0,0.0,1.0,90.75,90.75,87.35,87.83,966585.0
2017-11-07,87.24,87.5,86.84,87.37,383459.0,0.0,1.0,87.24,87.5,86.84,87.37,383459.0
2017-11-06,86.84,87.71,86.84,87.16,462933.0,0.0,1.0,86.84,87.71,86.84,87.16,462933.0
2017-11-03,86.5,87.1,86.29,86.84,266773.0,0.0,1.0,86.5,87.1,86.29,86.84,266773.0
2017-11-02,86.21,86.55,86.07,86.26,336299.0,0.0,1.0,86.21,86.55,86.07,86.26,336299.0
2017-11-01,86.14,86.72,85.88,86.42,401721.0,0.0,1.0,86.14,86.72,85.88,86.42,401721.0
2017-10-31,85.69,86.22,85.52,85.92,412051.0,0.0,1.0,85.69,86.22,85.52,85.92,412051.0
2017-10-30,85.96,85.96,85.2,85.64,286937.0,0.0,1.0,85.96,85.96,85.2,85.64,286937.0
2017-10-27,85.58,85.97,84.81,85.95,373773.0,0.0,1.0,85.58,85.97,84.81,85.95,373773.0
2017-10-26,84.58,85.29,84.55,85.08,277728.0,0.0,1.0,84.58,85.29,84.55,85.08,277728.0
2017-10-25,84.4,84.56,83.81,84.25,253768.0,0.0,1.0,84.4,84.56,83.81,84.25,253768.0
2017-10-24,84.36,84.7,84.07,84.38,274167.0,0.0,1.0,84.36,84.7,84.07,84.38,274167.0
2017-10-23,84.36,84.59,84.24,84.33,185820.0,0.0,1.0,84.36,84.59,84.24,84.33,185820.0
2017-10-20,84.24,84.58,84.04,84.36,287832.0,0.0,1.0,84.24,84.58,84.04,84.36,287832.0
