Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,64.71,65.5,63.14,63.64,9204879.0,0.0,1.0,64.71,65.5,63.14,63.64,9204879.0
2018-03-26,63.74,64.55,62.43,64.48,10264462.0,0.0,1.0,63.74,64.55,62.43,64.48,10264462.0
2018-03-23,65.66,66.05,62.9578,63.06,13127805.0,0.0,1.0,65.66,66.05,62.9578,63.06,13127805.0
2018-03-22,66.82,67.51,65.5,65.62,8773642.0,0.0,1.0,66.82,67.51,65.5,65.62,8773642.0
2018-03-21,66.39,68.56,66.16,67.43,8096699.0,0.0,1.0,66.39,68.56,66.16,67.43,8096699.0
2018-03-20,66.87,67.18,66.1,66.39,10283797.0,0.0,1.0,66.87,67.18,66.1,66.39,10283797.0
2018-03-19,67.77,67.86,65.815,66.56,11660797.0,0.0,1.0,67.77,67.86,65.815,66.56,11660797.0
2018-03-16,67.55,68.67,67.38,67.96,16779902.0,0.0,1.0,67.55,68.67,67.38,67.96,16779902.0
2018-03-15,69.09,69.2793,67.87,67.88,7371279.0,0.0,1.0,69.09,69.2793,67.87,67.88,7371279.0
2018-03-14,70.92,70.92,68.86,68.99,8288064.0,0.0,1.0,70.92,70.92,68.86,68.99,8288064.0
2018-03-13,72.06,72.43,70.55,70.57,11455894.0,0.0,1.0,72.06,72.43,70.55,70.57,11455894.0
2018-03-12,72.24,73.23,71.18,71.34,6897693.0,0.0,1.0,72.24,73.23,71.18,71.34,6897693.0
2018-03-09,70.85,72.27,70.61,72.23,5244420.0,0.0,1.0,70.85,72.27,70.61,72.23,5244420.0
2018-03-08,70.5,70.8,69.6975,70.58,5133756.0,0.0,1.0,70.5,70.8,69.6975,70.58,5133756.0
2018-03-07,69.66,70.5,69.42,70.17,7748132.0,0.0,1.0,69.66,70.5,69.42,70.17,7748132.0
2018-03-06,70.11,71.7,69.65,70.79,6671505.0,0.0,1.0,70.11,71.7,69.65,70.79,6671505.0
2018-03-05,67.98,69.99,67.53,69.66,9278886.0,0.0,1.0,67.98,69.99,67.53,69.66,9278886.0
2018-03-02,68.27,68.8,67.65,68.43,9488512.0,0.0,1.0,68.27,68.8,67.65,68.43,9488512.0
2018-03-01,70.14,70.49,68.36,68.76,10963015.0,0.0,1.0,70.14,70.49,68.36,68.76,10963015.0
2018-02-28,72.5,72.96,70.25,70.3,8067027.0,0.0,1.0,72.5,72.96,70.25,70.3,8067027.0
2018-02-27,73.27,73.82,72.36,72.36,6616264.0,0.0,1.0,73.27,73.82,72.36,72.36,6616264.0
2018-02-26,73.42,74.12,73.05,74.06,6621469.0,0.0,1.0,73.42,74.12,73.05,74.06,6621469.0
2018-02-23,72.46,73.37,71.7,73.26,5924127.0,0.0,1.0,72.46,73.37,71.7,73.26,5924127.0
