Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,53.46,53.57,52.7,53.11,2773040.0,0.0,1.0,53.46,53.57,52.7,53.11,2773040.0
2018-03-26,52.18,53.32,52.08,53.24,1724206.0,0.0,1.0,52.18,53.32,52.08,53.24,1724206.0
2018-03-23,52.23,52.89,51.7,51.74,2585856.0,0.0,1.0,52.23,52.89,51.7,51.74,2585856.0
2018-03-22,52.58,53.02,51.92,51.95,2030677.0,0.0,1.0,52.58,53.02,51.92,51.95,2030677.0
2018-03-21,53.15,53.51,52.94,52.97,2015965.0,0.0,1.0,53.15,53.51,52.94,52.97,2015965.0
2018-03-20,52.39,53.25,52.25,53.18,2051267.0,0.0,1.0,52.39,53.25,52.25,53.18,2051267.0
2018-03-19,52.67,53.015,51.96,52.21,2896434.0,0.0,1.0,52.67,53.015,51.96,52.21,2896434.0
2018-03-16,52.37,53.075,52.23,52.77,3647100.0,0.0,1.0,52.37,53.075,52.23,52.77,3647100.0
2018-03-15,52.58,52.75,52.21,52.37,1538066.0,0.0,1.0,52.58,52.75,52.21,52.37,1538066.0
2018-03-14,53.06,53.2,52.18,52.48,1715565.0,0.0,1.0,53.06,53.2,52.18,52.48,1715565.0
2018-03-13,52.67,53.4,52.52,52.98,2042565.0,0.0,1.0,52.67,53.4,52.52,52.98,2042565.0
2018-03-12,52.59,52.85,52.24,52.46,1743362.0,0.0,1.0,52.59,52.85,52.24,52.46,1743362.0
2018-03-09,52.21,52.8,51.97,52.49,3182849.0,0.0,1.0,52.21,52.8,51.97,52.49,3182849.0
2018-03-08,50.66,52.52,50.53,51.96,4049627.0,0.0,1.0,50.66,52.52,50.53,51.96,4049627.0
2018-03-07,50.67,51.15,50.45,50.69,1593343.0,0.0,1.0,50.3425217026,50.8194194807,50.1239435542,50.3623924433,1593343.0
2018-03-06,50.99,51.2,50.4786,51.2,1759010.0,0.0,1.0,50.6604535546,50.8690963326,50.1523587135,50.8690963326,1759010.0
2018-03-05,50.55,51.21,50.42,50.98,1874826.0,0.0,1.0,50.223297258,50.8790317029,50.0941374431,50.6505181843,1874826.0
2018-03-02,50.0,51.04,49.45,50.95,2580302.0,0.0,1.0,49.6768518873,50.7101304065,49.1304065165,50.6207120731,2580302.0
2018-03-01,50.83,50.83,49.6,50.27,1987300.0,0.0,1.0,50.5014876286,50.5014876286,49.2794370722,49.9451068875,1987300.0
2018-02-28,50.71,51.38,50.27,50.91,2892991.0,0.0,1.0,50.71,51.38,50.27,50.91,2892991.0
2018-02-27,51.37,51.64,50.58,50.65,2375720.0,0.0,1.0,51.37,51.64,50.58,50.65,2375720.0
2018-02-26,50.77,51.2,50.71,51.16,2236673.0,0.0,1.0,50.77,51.2,50.71,51.16,2236673.0
2018-02-23,50.0,50.67,49.65,50.65,1694836.0,0.0,1.0,50.0,50.67,49.65,50.65,1694836.0
2018-02-22,49.66,49.99,49.52,49.77,1899900.0,0.0,1.0,49.66,49.99,49.52,49.77,1899900.0
2018-02-21,49.5,50.25,49.36,49.58,2174438.0,0.0,1.0,49.5,50.25,49.36,49.58,2174438.0
2018-02-20,49.79,49.94,49.23,49.41,2586729.0,0.0,1.0,49.79,49.94,49.23,49.41,2586729.0
2018-02-16,50.36,50.45,49.89,50.06,3154596.0,0.0,1.0,50.36,50.45,49.89,50.06,3154596.0
2018-02-15,50.5,50.83,50.17,50.63,2801068.0,0.0,1.0,50.5,50.83,50.17,50.63,2801068.0
2018-02-14,49.97,50.99,49.74,50.49,2588750.0,0.0,1.0,49.97,50.99,49.74,50.49,2588750.0
2018-02-13,49.91,50.25,49.65,50.14,2147835.0,0.0,1.0,49.91,50.25,49.65,50.14,2147835.0
2018-02-12,49.11,50.35,49.11,49.91,4759223.0,0.0,1.0,49.11,50.35,49.11,49.91,4759223.0
2018-02-09,49.12,49.45,47.42,49.06,5823159.0,0.0,1.0,49.12,49.45,47.42,49.06,5823159.0
2018-02-08,48.76,50.46,48.23,48.85,7907780.0,0.0,1.0,48.76,50.46,48.23,48.85,7907780.0
2018-02-07,48.93,50.71,48.93,50.1,7959034.0,0.0,1.0,48.93,50.71,48.93,50.1,7959034.0
2018-02-06,46.9,49.38,46.46,49.02,9364386.0,0.0,1.0,46.9,49.38,46.46,49.02,9364386.0
2018-02-05,45.89,46.5,44.97,44.97,3291265.0,0.0,1.0,45.89,46.5,44.97,44.97,3291265.0
2018-02-02,46.95,46.99,45.96,45.96,2705482.0,0.0,1.0,46.95,46.99,45.96,45.96,2705482.0
2018-02-01,46.75,47.69,46.11,46.96,2409216.0,0.0,1.0,46.75,47.69,46.11,46.96,2409216.0
2018-01-31,47.78,48.13,46.97,47.04,2904262.0,0.0,1.0,47.78,48.13,46.97,47.04,2904262.0
2018-01-30,47.98,48.45,47.628,47.85,2266119.0,0.0,1.0,47.98,48.45,47.628,47.85,2266119.0
2018-01-29,47.74,48.8,47.51,48.44,2333628.0,0.0,1.0,47.74,48.8,47.51,48.44,2333628.0
2018-01-26,47.67,47.96,47.28,47.74,1748870.0,0.0,1.0,47.67,47.96,47.28,47.74,1748870.0
2018-01-25,47.75,48.06,47.29,47.43,1893475.0,0.0,1.0,47.75,48.06,47.29,47.43,1893475.0
2018-01-24,47.73,48.56,47.43,47.54,1870946.0,0.0,1.0,47.73,48.56,47.43,47.54,1870946.0
2018-01-23,47.51,47.74,47.24,47.58,2543670.0,0.0,1.0,47.51,47.74,47.24,47.58,2543670.0
2018-01-22,47.67,47.92,47.3,47.51,2336028.0,0.0,1.0,47.67,47.92,47.3,47.51,2336028.0
2018-01-19,47.58,48.14,47.56,47.76,2553033.0,0.0,1.0,47.58,48.14,47.56,47.76,2553033.0
2018-01-18,46.96,47.42,46.79,47.31,2660652.0,0.0,1.0,46.96,47.42,46.79,47.31,2660652.0
2018-01-17,46.11,47.57,45.9,46.99,2411971.0,0.0,1.0,46.11,47.57,45.9,46.99,2411971.0
2018-01-16,45.75,46.17,45.7,45.9,2684610.0,0.0,1.0,45.75,46.17,45.7,45.9,2684610.0
2018-01-12,45.49,45.8,45.07,45.78,2325417.0,0.0,1.0,45.49,45.8,45.07,45.78,2325417.0
2018-01-11,45.2,45.62,45.03,45.52,1192872.0,0.0,1.0,45.2,45.62,45.03,45.52,1192872.0
2018-01-10,45.19,45.53,44.72,45.23,1968290.0,0.0,1.0,45.19,45.53,44.72,45.23,1968290.0
2018-01-09,45.27,45.745,45.13,45.35,2220009.0,0.0,1.0,45.27,45.745,45.13,45.35,2220009.0
2018-01-08,45.43,45.8,44.92,45.29,1896298.0,0.0,1.0,45.43,45.8,44.92,45.29,1896298.0
2018-01-05,45.29,45.7,45.14,45.41,1711486.0,0.0,1.0,45.29,45.7,45.14,45.41,1711486.0
2018-01-04,45.2,45.48,44.23,45.2,1946152.0,0.0,1.0,45.2,45.48,44.23,45.2,1946152.0
2018-01-03,45.34,45.56,45.12,45.27,2180456.0,0.0,1.0,45.34,45.56,45.12,45.27,2180456.0
2018-01-02,44.37,45.29,44.3201,45.26,1884321.0,0.0,1.0,44.37,45.29,44.3201,45.26,1884321.0
2017-12-29,44.47,44.81,44.23,44.23,1103734.0,0.0,1.0,44.47,44.81,44.23,44.23,1103734.0
2017-12-28,44.9,45.0,44.03,44.34,1281649.0,0.0,1.0,44.9,45.0,44.03,44.34,1281649.0
2017-12-27,45.0,45.28,44.56,44.65,1513314.0,0.0,1.0,45.0,45.28,44.56,44.65,1513314.0
2017-12-26,44.52,44.99,44.425,44.95,1311649.0,0.0,1.0,44.52,44.99,44.425,44.95,1311649.0
2017-12-22,44.27,44.44,44.09,44.38,1837925.0,0.0,1.0,44.27,44.44,44.09,44.38,1837925.0
2017-12-21,44.23,44.67,43.61,44.27,2658153.0,0.0,1.0,44.23,44.67,43.61,44.27,2658153.0
2017-12-20,43.73,43.83,43.23,43.28,1581122.0,0.0,1.0,43.73,43.83,43.23,43.28,1581122.0
2017-12-19,43.62,43.7,43.18,43.48,1628149.0,0.0,1.0,43.62,43.7,43.18,43.48,1628149.0
2017-12-18,43.09,43.78,42.89,43.49,4921939.0,0.0,1.0,43.09,43.78,42.89,43.49,4921939.0
2017-12-15,43.23,43.31,42.69,42.83,4064370.0,0.0,1.0,43.23,43.31,42.69,42.83,4064370.0
2017-12-14,42.49,43.44,42.098,42.82,5293074.0,0.0,1.0,42.49,43.44,42.098,42.82,5293074.0
2017-12-13,41.51,42.41,41.49,42.27,2022108.0,0.0,1.0,41.51,42.41,41.49,42.27,2022108.0
2017-12-12,41.26,42.29,41.24,41.51,2398553.0,0.0,1.0,41.26,42.29,41.24,41.51,2398553.0
2017-12-11,42.2,42.43,41.185,41.39,2039764.0,0.0,1.0,42.2,42.43,41.185,41.39,2039764.0
2017-12-08,41.92,42.39,41.79,42.26,1931351.0,0.0,1.0,41.92,42.39,41.79,42.26,1931351.0
2017-12-07,41.46,42.37,41.125,41.98,3301646.0,0.0,1.0,41.46,42.37,41.125,41.98,3301646.0
2017-12-06,41.71,42.01,41.28,41.71,2638539.0,0.0,1.0,41.71,42.01,41.28,41.71,2638539.0
2017-12-05,42.36,42.62,41.375,41.65,2336315.0,0.0,1.0,42.36,42.62,41.375,41.65,2336315.0
2017-12-04,41.74,42.23,41.61,41.65,1852016.0,0.0,1.0,41.74,42.23,41.61,41.65,1852016.0
2017-12-01,41.73,41.82,41.03,41.54,2240954.0,0.0,1.0,41.73,41.82,41.03,41.54,2240954.0
2017-11-30,41.16,42.05,41.0,41.69,2785848.0,0.0,1.0,41.16,42.05,41.0,41.69,2785848.0
2017-11-29,40.84,42.13,40.82,41.51,2985000.0,0.0,1.0,40.84,42.13,40.82,41.51,2985000.0
2017-11-28,40.53,41.05,40.24,40.65,3381276.0,0.0,1.0,40.53,41.05,40.24,40.65,3381276.0
