Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,63.0,63.05,60.38,60.8,4397246.0,0.0,1.0,63.0,63.05,60.38,60.8,4397246.0
2018-03-26,62.39,62.69,60.73,62.59,4923812.0,0.0,1.0,62.39,62.69,60.73,62.59,4923812.0
2018-03-23,61.36,63.05,61.07,61.56,6816152.0,0.0,1.0,61.36,63.05,61.07,61.56,6816152.0
2018-03-22,60.54,61.465,60.13,60.66,6456471.0,0.0,1.0,60.54,61.465,60.13,60.66,6456471.0
2018-03-21,58.92,61.63,58.86,61.5,7331497.0,0.0,1.0,58.92,61.63,58.86,61.5,7331497.0
2018-03-20,57.64,59.35,57.54,58.48,4318970.0,0.0,1.0,57.64,59.35,57.54,58.48,4318970.0
2018-03-19,57.91,58.46,56.6261,57.02,4265882.0,0.0,1.0,57.91,58.46,56.6261,57.02,4265882.0
2018-03-16,58.07,59.33,58.07,58.53,4542777.0,0.0,1.0,58.07,59.33,58.07,58.53,4542777.0
2018-03-15,59.24,59.87,57.72,57.91,6345374.0,0.0,1.0,59.24,59.87,57.72,57.91,6345374.0
2018-03-14,58.71,59.37,58.58,58.92,4075381.0,0.0,1.0,58.71,59.37,58.58,58.92,4075381.0
2018-03-13,59.09,59.5,58.28,58.55,3096387.0,0.0,1.0,59.09,59.5,58.28,58.55,3096387.0
2018-03-12,58.0,59.26,57.87,58.98,4065161.0,0.0,1.0,58.0,59.26,57.87,58.98,4065161.0
2018-03-09,57.58,58.38,57.48,58.03,4253765.0,0.0,1.0,57.58,58.38,57.48,58.03,4253765.0
2018-03-08,57.65,58.0,56.63,57.08,4644336.0,0.0,1.0,57.65,58.0,56.63,57.08,4644336.0
2018-03-07,58.24,59.14,57.46,57.72,5257298.0,0.0,1.0,58.24,59.14,57.46,57.72,5257298.0
2018-03-06,59.34,59.34,58.35,58.81,3802040.0,0.0,1.0,59.34,59.34,58.35,58.81,3802040.0
2018-03-05,57.24,59.35,57.04,58.95,6540703.0,0.0,1.0,57.24,59.35,57.04,58.95,6540703.0
2018-03-02,56.71,57.63,56.04,57.45,6565576.0,0.0,1.0,56.71,57.63,56.04,57.45,6565576.0
2018-03-01,57.19,57.83,56.65,57.12,4270399.0,0.0,1.0,57.19,57.83,56.65,57.12,4270399.0
2018-02-28,58.45,58.995,57.02,57.04,5403563.0,0.0,1.0,58.45,58.995,57.02,57.04,5403563.0
2018-02-27,60.21,60.4,58.45,58.47,5498377.0,0.0,1.0,60.21,60.4,58.45,58.47,5498377.0
2018-02-26,61.24,61.46,59.91,60.4,4278063.0,0.0,1.0,61.24,61.46,59.91,60.4,4278063.0
2018-02-23,58.89,60.99,58.5,60.82,5023301.0,0.0,1.0,58.89,60.99,58.5,60.82,5023301.0
2018-02-22,57.85,59.54,57.67,58.28,4804662.0,0.0,1.0,57.85,59.54,57.67,58.28,4804662.0
2018-02-21,59.24,59.69,57.23,57.27,6516241.0,0.0,1.0,59.24,59.69,57.23,57.27,6516241.0
2018-02-20,59.3,61.05,59.16,59.25,5969988.0,0.0,1.0,59.3,61.05,59.16,59.25,5969988.0
2018-02-16,59.34,60.115,59.07,59.18,3785964.0,0.0,1.0,59.34,60.115,59.07,59.18,3785964.0
2018-02-15,59.96,60.0,58.54,59.62,5430068.0,0.0,1.0,59.96,60.0,58.54,59.62,5430068.0
2018-02-14,56.4,59.94,56.2,59.78,5698170.0,0.0,1.0,56.4,59.94,56.2,59.78,5698170.0
2018-02-13,57.33,57.89,56.77,57.18,4224322.0,0.0,1.0,57.33,57.89,56.77,57.18,4224322.0
2018-02-12,57.0,58.6932,56.83,57.82,6576252.0,0.0,1.0,57.0,58.6932,56.83,57.82,6576252.0
2018-02-09,56.76,57.24,53.8476,56.13,8738166.0,0.0,1.0,56.76,57.24,53.8476,56.13,8738166.0
2018-02-08,59.07,59.78,56.18,56.2,7927965.0,0.0,1.0,59.07,59.78,56.18,56.2,7927965.0
2018-02-07,60.76,61.23,57.67,58.72,11982159.0,0.0,1.0,60.76,61.23,57.67,58.72,11982159.0
2018-02-06,55.95,57.56,53.97,57.49,8726408.0,0.0,1.0,55.95,57.56,53.97,57.49,8726408.0
2018-02-05,58.13,59.5,56.53,56.85,7951344.0,0.0,1.0,58.13,59.5,56.53,56.85,7951344.0
2018-02-02,60.59,60.81,58.88,59.11,8637891.0,0.0,1.0,60.59,60.81,58.88,59.11,8637891.0
2018-02-01,60.58,61.5,60.05,61.37,4582961.0,0.0,1.0,60.58,61.5,60.05,61.37,4582961.0
2018-01-31,59.75,60.36,59.44,60.05,3860517.0,0.0,1.0,59.75,60.36,59.44,60.05,3860517.0
2018-01-30,60.18,60.48,58.96,59.75,5329585.0,0.0,1.0,60.18,60.48,58.96,59.75,5329585.0
2018-01-29,61.44,62.35,60.855,60.96,3305329.0,0.0,1.0,61.44,62.35,60.855,60.96,3305329.0
2018-01-26,61.62,62.51,61.3,61.84,5621248.0,0.0,1.0,61.62,62.51,61.3,61.84,5621248.0
2018-01-25,61.48,61.84,60.98,61.49,7887086.0,0.0,1.0,61.48,61.84,60.98,61.49,7887086.0
2018-01-24,61.25,61.78,60.73,61.43,5788732.0,0.0,1.0,61.25,61.78,60.73,61.43,5788732.0
2018-01-23,60.85,61.37,60.2001,60.94,6304829.0,0.0,1.0,60.85,61.37,60.2001,60.94,6304829.0
2018-01-22,58.3,60.73,58.2,60.72,6139748.0,0.0,1.0,58.3,60.73,58.2,60.72,6139748.0
2018-01-19,58.03,58.47,57.88,58.2,5977752.0,0.0,1.0,58.03,58.47,57.88,58.2,5977752.0
2018-01-18,58.73,59.15,58.07,58.29,4070966.0,0.0,1.0,58.73,59.15,58.07,58.29,4070966.0
2018-01-17,58.75,59.525,57.9086,58.97,4436289.0,0.0,1.0,58.75,59.525,57.9086,58.97,4436289.0
2018-01-16,58.94,59.72,58.51,58.55,6006035.0,0.0,1.0,58.94,59.72,58.51,58.55,6006035.0
2018-01-12,58.82,59.17,58.19,58.98,4875611.0,0.0,1.0,58.82,59.17,58.19,58.98,4875611.0
2018-01-11,55.78,59.04,55.58,58.5,10865683.0,0.0,1.0,55.78,59.04,55.58,58.5,10865683.0
2018-01-10,55.61,56.52,55.37,55.41,4612586.0,0.0,1.0,55.61,56.52,55.37,55.41,4612586.0
2018-01-09,55.66,55.92,55.245,55.52,4629783.0,0.0,1.0,55.66,55.92,55.245,55.52,4629783.0
2018-01-08,54.97,55.56,54.65,55.39,4708380.0,0.0,1.0,54.97,55.56,54.65,55.39,4708380.0
2018-01-05,55.4,55.73,54.565,55.02,3836468.0,0.0,1.0,55.4,55.73,54.565,55.02,3836468.0
2018-01-04,54.94,55.67,54.26,55.65,4475358.0,0.0,1.0,54.94,55.67,54.26,55.65,4475358.0
2018-01-03,54.7,55.46,54.65,54.77,4303695.0,0.0,1.0,54.7,55.46,54.65,54.77,4303695.0
2018-01-02,54.13,54.85,54.0,54.77,3822284.0,0.0,1.0,54.13,54.85,54.0,54.77,3822284.0
2017-12-29,53.98,54.12,53.43,53.64,2507063.0,0.0,1.0,53.98,54.12,53.43,53.64,2507063.0
2017-12-28,53.78,54.06,53.53,53.76,2551087.0,0.0,1.0,53.78,54.06,53.53,53.76,2551087.0
2017-12-27,54.1,54.255,53.75,53.78,3828714.0,0.0,1.0,54.1,54.255,53.75,53.78,3828714.0
2017-12-26,53.2,54.45,53.1455,54.1,4980717.0,0.0,1.0,53.2,54.45,53.1455,54.1,4980717.0
2017-12-22,51.975,53.46,51.94,52.93,5308059.0,0.0,1.0,51.975,53.46,51.94,52.93,5308059.0
2017-12-21,50.78,52.88,50.52,51.96,7594931.0,0.0,1.0,50.78,52.88,50.52,51.96,7594931.0
2017-12-20,49.585,51.14,49.4,50.73,7815500.0,0.0,1.0,49.585,51.14,49.4,50.73,7815500.0
2017-12-19,48.94,50.13,48.67,49.39,5703170.0,0.0,1.0,48.94,50.13,48.67,49.39,5703170.0
2017-12-18,47.71,48.93,47.54,48.53,4718638.0,0.0,1.0,47.71,48.93,47.54,48.53,4718638.0
2017-12-15,48.18,48.37,47.39,47.52,8248635.0,0.0,1.0,48.18,48.37,47.39,47.52,8248635.0
2017-12-14,48.0,48.25,47.37,47.89,5001839.0,0.0,1.0,48.0,48.25,47.37,47.89,5001839.0
2017-12-13,48.57,48.675,47.93,48.26,4339051.0,0.0,1.0,48.57,48.675,47.93,48.26,4339051.0
2017-12-12,48.53,49.35,48.07,48.54,6874055.0,0.0,1.0,48.53,49.35,48.07,48.54,6874055.0
2017-12-11,48.12,48.55,47.95,48.3,4010087.0,0.0,1.0,48.12,48.55,47.95,48.3,4010087.0
2017-12-08,47.75,48.22,47.425,47.92,6149798.0,0.0,1.0,47.75,48.22,47.425,47.92,6149798.0
2017-12-07,47.0,47.43,46.8,47.32,3740987.0,0.0,1.0,47.0,47.43,46.8,47.32,3740987.0
2017-12-06,47.93,48.04,46.84,47.11,5691037.0,0.0,1.0,47.93,48.04,46.84,47.11,5691037.0
2017-12-05,48.47,48.6328,47.78,48.26,2874756.0,0.0,1.0,48.47,48.6328,47.78,48.26,2874756.0
2017-12-04,48.58,49.34,48.3264,48.59,4452854.0,0.0,1.0,48.58,49.34,48.3264,48.59,4452854.0
2017-12-01,48.6,49.83,48.435,48.72,8403962.0,0.0,1.0,48.6,49.83,48.435,48.72,8403962.0
2017-11-30,48.34,49.0298,47.8044,48.09,9415993.0,0.0,1.0,48.34,49.0298,47.8044,48.09,9415993.0
2017-11-29,47.7,48.48,47.5157,47.88,3802103.0,0.0,1.0,47.7,48.48,47.5157,47.88,3802103.0
2017-11-28,47.76,47.9,47.38,47.77,2793820.0,0.0,1.0,47.76,47.9,47.38,47.77,2793820.0
2017-11-27,47.96,47.96,47.355,47.69,4823159.0,0.0,1.0,47.96,47.96,47.355,47.69,4823159.0
2017-11-24,48.64,48.7,47.95,48.11,2079081.0,0.0,1.0,48.64,48.7,47.95,48.11,2079081.0
2017-11-22,48.39,48.57,48.13,48.35,5938383.0,0.0,1.0,48.39,48.57,48.13,48.35,5938383.0
2017-11-21,48.46,48.5613,47.725,48.02,5259763.0,0.0,1.0,48.46,48.5613,47.725,48.02,5259763.0
2017-11-20,47.86,48.57,47.42,48.31,3593755.0,0.0,1.0,47.86,48.57,47.42,48.31,3593755.0
2017-11-17,47.89,48.33,47.735,48.15,6091098.0,0.0,1.0,47.89,48.33,47.735,48.15,6091098.0
2017-11-16,47.59,48.13,47.01,47.5,5745168.0,0.0,1.0,47.59,48.13,47.01,47.5,5745168.0
2017-11-15,47.71,48.08,47.02,47.62,7136283.0,0.0,1.0,47.71,48.08,47.02,47.62,7136283.0
2017-11-14,49.71,49.84,47.88,48.05,8103356.0,0.0,1.0,49.71,49.84,47.88,48.05,8103356.0
2017-11-13,51.05,51.55,49.87,50.23,11008703.0,0.0,1.0,51.05,51.55,49.87,50.23,11008703.0
2017-11-10,51.22,51.47,50.35,51.11,4991266.0,0.0,1.0,51.22,51.47,50.35,51.11,4991266.0
2017-11-09,51.02,51.83,50.845,51.4,4199814.0,0.0,1.0,51.02,51.83,50.845,51.4,4199814.0
2017-11-07,52.01,52.17,50.6,51.08,6584934.0,0.0,1.0,52.01,52.17,50.6,51.08,6584934.0
2017-11-06,49.8,51.84,49.56,51.83,7238126.0,0.0,1.0,49.8,51.84,49.56,51.83,7238126.0
2017-11-03,49.32,49.88,49.14,49.51,6375744.0,0.0,1.0,49.32,49.88,49.14,49.51,6375744.0
2017-11-02,49.86,50.36,48.82,49.39,6368308.0,0.0,1.0,49.86,50.36,48.82,49.39,6368308.0
2017-11-01,49.64,51.02,49.16,50.14,9045659.0,0.0,1.0,49.64,51.02,49.16,50.14,9045659.0
2017-10-31,48.23,49.49,48.01,49.37,6795501.0,0.0,1.0,48.23,49.49,48.01,49.37,6795501.0
2017-10-30,49.07,49.4255,48.52,48.69,5561445.0,0.0,1.0,49.07,49.4255,48.52,48.69,5561445.0
2017-10-27,47.29,48.83,47.06,48.81,6438832.0,0.0,1.0,47.29,48.83,47.06,48.81,6438832.0
2017-10-26,47.68,48.0,46.745,47.69,5325516.0,0.0,1.0,47.68,48.0,46.745,47.69,5325516.0
2017-10-25,47.84,48.13,47.35,47.7,4907833.0,0.0,1.0,47.84,48.13,47.35,47.7,4907833.0
2017-10-24,48.41,48.88,47.77,48.05,6902903.0,0.0,1.0,48.41,48.88,47.77,48.05,6902903.0
2017-10-23,49.2,49.39,48.08,48.1,5743852.0,0.0,1.0,49.2,49.39,48.08,48.1,5743852.0
2017-10-20,48.88,49.16,48.63,49.01,4552208.0,0.0,1.0,48.88,49.16,48.63,49.01,4552208.0
2017-10-19,48.55,49.73,48.52,48.67,5032595.0,0.0,1.0,48.55,49.73,48.52,48.67,5032595.0
2017-10-18,48.73,49.515,48.41,48.77,5608757.0,0.0,1.0,48.73,49.515,48.41,48.77,5608757.0
2017-10-17,48.34,48.91,47.9536,48.9,4136937.0,0.0,1.0,48.34,48.91,47.9536,48.9,4136937.0
2017-10-16,48.06,48.54,47.84,48.45,4344349.0,0.0,1.0,48.06,48.54,47.84,48.45,4344349.0
2017-10-13,48.18,48.51,47.66,47.79,4001305.0,0.0,1.0,48.18,48.51,47.66,47.79,4001305.0
