Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,85.13,86.79,83.67,84.33,2207986.0,0.0,1.0,85.13,86.79,83.67,84.33,2207986.0
2018-03-26,82.71,85.12,82.59,85.04,1700442.0,0.0,1.0,82.71,85.12,82.59,85.04,1700442.0
2018-03-23,83.81,85.36,81.14,81.21,2050729.0,0.0,1.0,83.81,85.36,81.14,81.21,2050729.0
2018-03-22,87.54,88.02,83.47,83.79,1943948.0,0.0,1.0,87.54,88.02,83.47,83.79,1943948.0
2018-03-21,87.98,89.08,87.6,88.14,1169648.0,0.0,1.0,87.98,89.08,87.6,88.14,1169648.0
2018-03-20,88.4,88.716,87.5,87.85,1450052.0,0.0,1.0,88.4,88.716,87.5,87.85,1450052.0
2018-03-19,89.22,89.68,87.21,87.89,1248991.0,0.0,1.0,89.22,89.68,87.21,87.89,1248991.0
2018-03-16,89.13,89.73,88.75,89.32,1273005.0,0.0,1.0,89.13,89.73,88.75,89.32,1273005.0
2018-03-15,89.54,89.86,88.4,88.96,1367313.0,0.0,1.0,89.54,89.86,88.4,88.96,1367313.0
2018-03-14,91.38,91.7,89.28,89.3,986708.0,0.0,1.0,91.38,91.7,89.28,89.3,986708.0
2018-03-13,91.46,92.36,90.67,90.9,826870.0,0.0,1.0,91.46,92.36,90.67,90.9,826870.0
2018-03-12,92.34,93.07,91.1825,91.45,750077.0,0.0,1.0,92.34,93.07,91.1825,91.45,750077.0
2018-03-09,90.77,92.45,90.52,92.27,1124013.0,0.0,1.0,90.77,92.45,90.52,92.27,1124013.0
2018-03-08,89.69,90.03,88.89,89.7,905042.0,0.0,1.0,89.69,90.03,88.89,89.7,905042.0
2018-03-07,89.02,89.66,88.37,89.42,1678217.0,0.0,1.0,89.02,89.66,88.37,89.42,1678217.0
2018-03-06,89.43,90.68,88.61,89.95,1384863.0,0.0,1.0,89.43,90.68,88.61,89.95,1384863.0
2018-03-05,88.03,89.28,87.37,88.82,2155421.0,0.0,1.0,88.03,89.28,87.37,88.82,2155421.0
2018-03-02,87.06,89.19,86.91,88.61,1752778.0,0.0,1.0,87.06,89.19,86.91,88.61,1752778.0
2018-03-01,91.12,91.475,86.51,87.77,2284442.0,0.0,1.0,91.12,91.475,86.51,87.77,2284442.0
2018-02-28,92.99,93.16,91.29,91.33,1242295.0,0.0,1.0,92.99,93.16,91.29,91.33,1242295.0
2018-02-27,94.73,94.91,92.6,92.62,1021604.0,0.0,1.0,94.73,94.91,92.6,92.62,1021604.0
2018-02-26,93.82,94.79,93.05,94.72,859295.0,0.0,1.0,93.82,94.79,93.05,94.72,859295.0
2018-02-23,93.21,93.78,92.21,93.06,849734.0,0.0,1.0,93.21,93.78,92.21,93.06,849734.0
2018-02-22,93.23,93.86,92.29,92.94,970059.0,0.0,1.0,93.23,93.86,92.29,92.94,970059.0
2018-02-21,92.31,94.15,91.7601,92.55,1073780.0,0.0,1.0,92.31,94.15,91.7601,92.55,1073780.0
2018-02-20,91.74,93.4,91.74,92.34,1452532.0,0.0,1.0,91.74,93.4,91.74,92.34,1452532.0
2018-02-16,92.65,93.9,92.37,92.4,1137437.0,0.0,1.0,92.65,93.9,92.37,92.4,1137437.0
2018-02-15,93.52,93.65,91.64,93.33,1327807.0,0.0,1.0,93.52,93.65,91.64,93.33,1327807.0
2018-02-14,90.16,92.93,89.91,92.69,1674978.0,0.0,1.0,90.16,92.93,89.91,92.69,1674978.0
2018-02-13,90.76,91.99,90.28,90.77,1035843.0,0.0,1.0,90.76,91.99,90.28,90.77,1035843.0
2018-02-12,89.25,92.3,88.64,91.44,1969237.0,0.0,1.0,89.25,92.3,88.64,91.44,1969237.0
2018-02-09,90.3,90.69,86.18,88.56,3248213.0,0.0,1.0,90.3,90.69,86.18,88.56,3248213.0
2018-02-08,93.43,93.8,89.24,89.27,2703945.0,0.0,1.0,93.43,93.8,89.24,89.27,2703945.0
2018-02-07,92.53,95.345,92.2395,93.69,1868173.0,0.0,1.0,92.53,95.345,92.2395,93.69,1868173.0
