Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,134.24,134.6,128.47,129.18,1278974.0,0.0,1.0,134.24,134.6,128.47,129.18,1278974.0
2018-03-26,129.67,133.69,128.31,133.23,1771589.0,0.0,1.0,129.67,133.69,128.31,133.23,1771589.0
2018-03-23,128.38,132.01,127.54,127.96,1467595.0,0.0,1.0,128.38,132.01,127.54,127.96,1467595.0
2018-03-22,128.63,130.2499,127.48,127.78,1422308.0,0.0,1.0,128.63,130.2499,127.48,127.78,1422308.0
2018-03-21,125.98,131.47,125.96,130.18,1204869.0,0.0,1.0,125.98,131.47,125.96,130.18,1204869.0
2018-03-20,123.49,126.63,123.0,125.54,1338369.0,0.0,1.0,123.49,126.63,123.0,125.54,1338369.0
2018-03-19,124.0,125.49,121.98,122.63,1600408.0,0.0,1.0,124.0,125.49,121.98,122.63,1600408.0
2018-03-16,124.67,126.82,124.0,125.51,1918807.0,0.0,1.0,124.67,126.82,124.0,125.51,1918807.0
2018-03-15,126.08,127.72,124.27,124.6,1142686.0,0.0,1.0,126.08,127.72,124.27,124.6,1142686.0
2018-03-14,127.75,128.37,125.52,125.81,1033433.0,0.0,1.0,127.75,128.37,125.52,125.81,1033433.0
2018-03-13,128.18,129.46,126.43,127.15,857514.0,0.0,1.0,128.18,129.46,126.43,127.15,857514.0
2018-03-12,129.27,130.012,127.33,127.41,881343.0,0.0,1.0,129.27,130.012,127.33,127.41,881343.0
2018-03-09,126.28,129.31,125.7197,128.94,957607.0,0.0,1.0,126.28,129.31,125.7197,128.94,957607.0
2018-03-08,126.96,126.96,123.871,125.2,766913.0,0.0,1.0,126.96,126.96,123.871,125.2,766913.0
2018-03-07,126.66,128.89,123.2431,126.27,1225680.0,0.0,1.0,126.66,128.89,123.2431,126.27,1225680.0
2018-03-06,130.64,131.02,126.88,127.09,1062430.0,0.0,1.0,130.64,131.02,126.88,127.09,1062430.0
2018-03-05,128.29,131.58,128.24,130.25,968184.0,0.0,1.0,128.29,131.58,128.24,130.25,968184.0
2018-03-02,125.06,129.41,124.0,129.08,960880.0,0.0,1.0,125.06,129.41,124.0,129.08,960880.0
2018-03-01,125.03,128.63,124.28,126.41,1080039.0,0.0,1.0,125.03,128.63,124.28,126.41,1080039.0
2018-02-28,127.06,128.22,124.61,124.64,1008697.0,0.0,1.0,127.06,128.22,124.61,124.64,1008697.0
2018-02-27,127.0,129.05,126.16,126.17,818011.0,0.0,1.0,127.0,129.05,126.16,126.17,818011.0
2018-02-26,128.81,129.15,127.08,127.72,662743.0,0.0,1.0,128.81,129.15,127.08,127.72,662743.0
2018-02-23,124.57,128.09,124.05,127.93,873920.0,0.0,1.0,124.57,128.09,124.05,127.93,873920.0
2018-02-22,121.16,125.0899,120.655,123.31,1142633.0,0.0,1.0,121.16,125.0899,120.655,123.31,1142633.0
2018-02-21,122.33,124.68,120.84,120.98,1239434.0,0.0,1.0,122.33,124.68,120.84,120.98,1239434.0
2018-02-20,123.17,125.3501,122.43,122.81,1266746.0,0.0,1.0,123.17,125.3501,122.43,122.81,1266746.0
2018-02-16,124.12,126.745,123.45,123.88,1670637.0,0.0,1.0,124.12,126.745,123.45,123.88,1670637.0
2018-02-15,123.99,125.26,121.59,125.15,2415871.0,0.0,1.0,123.99,125.26,121.59,125.15,2415871.0
2018-02-14,116.0,122.95,114.77,122.83,2894413.0,0.0,1.0,116.0,122.95,114.77,122.83,2894413.0
2018-02-13,115.23,116.43,114.68,115.03,1549263.0,0.0,1.0,115.23,116.43,114.68,115.03,1549263.0
2018-02-12,112.0,116.44,112.0,116.01,1708190.0,0.0,1.0,112.0,116.44,112.0,116.01,1708190.0
2018-02-09,112.18,113.7524,105.6559,110.59,1760440.0,0.0,1.0,112.18,113.7524,105.6559,110.59,1760440.0
2018-02-08,118.55,119.46,111.22,111.31,2508757.0,0.0,1.0,118.55,119.46,111.22,111.31,2508757.0
2018-02-07,121.91,123.02,118.47,118.5,1211150.0,0.0,1.0,121.91,123.02,118.47,118.5,1211150.0
2018-02-06,118.72,124.44,118.17,121.9,1674634.0,0.0,1.0,118.72,124.44,118.17,121.9,1674634.0
2018-02-05,120.49,124.95,118.83,120.665,1683787.0,0.0,1.0,120.49,124.95,118.83,120.665,1683787.0
2018-02-02,125.72,126.0,122.22,122.46,1529930.0,0.0,1.0,125.72,126.0,122.22,122.46,1529930.0
2018-02-01,125.57,127.69,125.16,126.64,966626.0,0.0,1.0,125.57,127.69,125.16,126.64,966626.0
