Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,102.19,102.19,99.46,100.06,935535.0,0.0,1.0,102.19,102.19,99.46,100.06,935535.0
2018-03-26,101.05,101.8,99.04,101.66,764218.0,0.0,1.0,101.05,101.8,99.04,101.66,764218.0
2018-03-23,102.06,102.49,99.56,99.72,843639.0,0.0,1.0,102.06,102.49,99.56,99.72,843639.0
2018-03-22,103.27,104.18,101.59,101.88,670677.0,0.0,1.0,103.27,104.18,101.59,101.88,670677.0
2018-03-21,105.0,105.68,104.09,104.11,676297.0,0.0,1.0,105.0,105.68,104.09,104.11,676297.0
2018-03-20,104.57,105.09,104.08,104.81,562772.0,0.0,1.0,104.57,105.09,104.08,104.81,562772.0
2018-03-19,105.46,105.5,103.95,104.76,577159.0,0.0,1.0,105.46,105.5,103.95,104.76,577159.0
2018-03-16,105.27,106.0,104.9283,105.69,830959.0,0.0,1.0,105.27,106.0,104.9283,105.69,830959.0
2018-03-15,105.32,106.5,105.005,105.34,716626.0,0.0,1.0,105.32,106.5,105.005,105.34,716626.0
2018-03-14,106.08,106.32,104.37,104.84,1109950.0,0.0,1.0,106.08,106.32,104.37,104.84,1109950.0
2018-03-13,106.12,106.74,105.1,105.68,760841.0,0.0,1.0,106.12,106.74,105.1,105.68,760841.0
2018-03-12,105.96,106.81,105.45,105.93,984527.0,0.0,1.0,105.96,106.81,105.45,105.93,984527.0
2018-03-09,103.78,105.66,102.98,105.6,916357.0,0.0,1.0,103.78,105.66,102.98,105.6,916357.0
2018-03-08,102.27,103.75,101.77,103.25,1033460.0,0.0,1.0,102.27,103.75,101.77,103.25,1033460.0
2018-03-07,100.74,102.33,100.33,101.93,773903.0,0.0,1.0,100.74,102.33,100.33,101.93,773903.0
2018-03-06,99.92,100.76,99.63,100.66,620572.0,0.0,1.0,99.92,100.76,99.63,100.66,620572.0
2018-03-05,98.03,100.15,96.94,99.69,833141.0,0.0,1.0,98.03,100.15,96.94,99.69,833141.0
2018-03-02,96.94,99.52,96.24,98.17,989902.0,0.0,1.0,96.94,99.52,96.24,98.17,989902.0
2018-03-01,98.43,98.87,96.725,97.2,1237524.0,0.0,1.0,98.43,98.87,96.725,97.2,1237524.0
2018-02-28,99.86,100.22,98.29,98.33,1764197.0,0.0,1.0,99.86,100.22,98.29,98.33,1764197.0
2018-02-27,99.97,100.9,98.71,99.57,1146329.0,0.0,1.0,99.97,100.9,98.71,99.57,1146329.0
2018-02-26,100.0,100.75,98.51,99.97,1655956.0,0.0,1.0,100.0,100.75,98.51,99.97,1655956.0
2018-02-23,98.87,99.925,98.21,99.78,1397831.0,0.0,1.0,98.87,99.925,98.21,99.78,1397831.0
2018-02-22,100.02,100.75,97.82,98.38,1248036.0,0.0,1.0,100.02,100.75,97.82,98.38,1248036.0
2018-02-21,100.64,101.49,99.73,99.76,1364059.0,0.0,1.0,100.64,101.49,99.73,99.76,1364059.0
2018-02-20,101.58,102.07,99.78,100.26,1300382.0,0.0,1.0,101.58,102.07,99.78,100.26,1300382.0
2018-02-16,101.39,102.5,101.16,101.72,1266937.0,0.0,1.0,101.39,102.5,101.16,101.72,1266937.0
2018-02-15,105.51,106.27,99.78,101.57,1869338.0,0.0,1.0,105.51,106.27,99.78,101.57,1869338.0
