Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,126.86,128.18,124.36,125.28,8246235.0,0.0,1.0,126.86,128.18,124.36,125.28,8246235.0
2018-03-26,123.94,126.87,123.44,126.64,11476506.0,0.0,1.0,123.94,126.87,123.44,126.64,11476506.0
2018-03-23,124.19,125.13,122.14,122.31,3800631.0,0.0,1.0,124.19,125.13,122.14,122.31,3800631.0
2018-03-22,126.06,126.94,123.92,124.07,4824359.0,0.0,1.0,126.06,126.94,123.92,124.07,4824359.0
2018-03-21,127.13,128.5,126.36,127.0,3454678.0,0.0,1.0,127.13,128.5,126.36,127.0,3454678.0
2018-03-20,127.25,128.67,126.82,127.16,2783067.0,0.0,1.0,127.25,128.67,126.82,127.16,2783067.0
2018-03-19,128.0,128.94,126.13,127.2,3755997.0,0.0,1.0,128.0,128.94,126.13,127.2,3755997.0
2018-03-16,129.22,129.84,127.78,128.33,6994119.0,0.0,1.0,129.22,129.84,127.78,128.33,6994119.0
2018-03-15,130.16,130.57,127.87,129.25,3000029.0,0.0,1.0,130.16,130.57,127.87,129.25,3000029.0
2018-03-14,130.5,130.989,128.15,129.58,3206127.0,0.0,1.0,130.5,130.989,128.15,129.58,3206127.0
2018-03-13,132.48,132.51,129.52,130.15,3805897.0,0.0,1.0,132.48,132.51,129.52,130.15,3805897.0
2018-03-12,134.7,134.7,131.1,131.5,3633950.0,0.0,1.0,134.7,134.7,131.1,131.5,3633950.0
2018-03-09,131.81,134.19,131.51,134.07,4022172.0,0.0,1.0,131.81,134.19,131.51,134.07,4022172.0
2018-03-08,131.75,132.09,129.63,131.26,3590900.0,0.0,1.0,131.75,132.09,129.63,131.26,3590900.0
2018-03-07,129.86,131.27,129.71,130.93,2969228.0,0.0,1.0,129.86,131.27,129.71,130.93,2969228.0
2018-03-06,132.2,132.37,130.32,131.61,3039323.0,0.0,1.0,132.2,132.37,130.32,131.61,3039323.0
2018-03-05,129.32,132.4,128.02,131.71,4764480.0,0.0,1.0,129.32,132.4,128.02,131.71,4764480.0
2018-03-02,129.22,130.3,128.29,129.94,5831135.0,0.0,1.0,129.22,130.3,128.29,129.94,5831135.0
2018-03-01,135.2,135.7,129.78,130.3,6331845.0,0.0,1.0,135.2,135.7,129.78,130.3,6331845.0
2018-02-28,134.12,138.5,134.0,134.74,9202755.0,0.0,1.0,134.12,138.5,134.0,134.74,9202755.0
2018-02-27,135.64,136.24,133.88,133.91,4294360.0,0.0,1.0,135.64,136.24,133.88,133.91,4294360.0
2018-02-26,133.82,135.64,133.76,135.47,4703604.0,0.0,1.0,133.82,135.64,133.76,135.47,4703604.0
