Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,203.44,203.9,197.99,198.61,389651.0,0.0,1.0,203.44,203.9,197.99,198.61,389651.0
2018-03-26,200.54,202.69,198.74,202.19,447813.0,0.0,1.0,200.54,202.69,198.74,202.19,447813.0
2018-03-23,202.53,204.39,198.03,198.23,576312.0,0.0,1.0,202.53,204.39,198.03,198.23,576312.0
2018-03-22,205.79,208.78,202.81,202.84,566995.0,0.0,1.0,205.79,208.78,202.81,202.84,566995.0
2018-03-21,210.41,211.87,208.366,208.64,496665.0,0.0,1.0,210.41,211.87,208.366,208.64,496665.0
2018-03-20,205.49,209.9,203.651,208.29,372250.0,0.0,1.0,205.49,209.9,203.651,208.29,372250.0
2018-03-19,208.3,208.3,202.83,205.13,392978.0,0.0,1.0,208.3,208.3,202.83,205.13,392978.0
2018-03-16,206.69,209.09,205.59,209.01,326371.0,0.0,1.0,206.69,209.09,205.59,209.01,326371.0
2018-03-15,208.0,208.889,205.98,206.78,224137.0,0.0,1.0,208.0,208.889,205.98,206.78,224137.0
2018-03-14,208.83,208.919,206.32,207.9,407427.0,0.0,1.0,208.83,208.919,206.32,207.9,407427.0
2018-03-13,210.0,210.0,206.21,207.8,355741.0,0.0,1.0,210.0,210.0,206.21,207.8,355741.0
2018-03-12,209.43,210.21,208.24,208.69,283679.0,0.0,1.0,209.43,210.21,208.24,208.69,283679.0
2018-03-09,207.64,210.94,206.82,209.4,386871.0,0.0,1.0,207.64,210.94,206.82,209.4,386871.0
2018-03-08,206.31,207.52,204.65,206.52,362240.0,0.0,1.0,206.31,207.52,204.65,206.52,362240.0
2018-03-07,200.87,205.94,200.83,205.16,394024.0,0.0,1.0,200.87,205.94,200.83,205.16,394024.0
2018-03-06,204.24,204.55,202.26,203.42,394479.0,0.0,1.0,204.24,204.55,202.26,203.42,394479.0
2018-03-05,201.0,205.54,199.78,203.7,471250.0,0.0,1.0,201.0,205.54,199.78,203.7,471250.0
2018-03-02,198.38,201.7,196.9,201.45,527782.0,0.0,1.0,198.38,201.7,196.9,201.45,527782.0
